,All happiness,Male happiness,Female happiness,18-30 happiness,31-45 happiness,46-64 happiness,65p happiness,SNIW happiness,North happiness,Mid happiness,London happiness,South happiness
4paws,0.5792452830188679,0.5934959349593496,0.5785714285714286,0.6761363636363636,0.5202020202020202,0.5294117647058824,0.75,0.5,0.6408450704225352,0.6166666666666667,0.62,0.4868421052631579
Admiral,0.6198083067092651,0.6331521739130435,0.6,0.5882352941176471,0.6694915254237288,0.4888888888888889,0.42857142857142855,0.6346153846153846,0.7088607594936709,0.5344827586206896,0.6818181818181818,0.5067567567567568
Animal Friends,0.585254854368932,0.5698275862068966,0.5919324577861164,0.6748466257668712,0.5853413654618473,0.5768115942028985,0.5503355704697986,0.6004901960784313,0.6199095022624435,0.5876404494382023,0.5911602209944752,0.5264550264550265
Argos,0.611731843575419,0.6534090909090909,0.5714285714285714,0.6071428571428571,0.5822784810126582,0.6547619047619048,0.5909090909090909,0.6346153846153846,0.6212121212121212,0.47058823529411764,0.6847826086956522,0.6125
Asda Money,0.6161971830985915,0.6428571428571429,0.5785714285714286,0.6818181818181818,0.6551724137931034,0.5111111111111111,0.6666666666666666,0.725,0.66,0.46551724137931033,0.6063829787234043,0.6428571428571429
Bought by Many,0.6701323251417769,0.6652360515021459,0.676271186440678,0.6636363636363637,0.688622754491018,0.6197604790419161,0.7705882352941177,0.8,0.7297297297297297,0.5791666666666667,0.6379310344827587,0.6379310344827587
Churchill,0.6740196078431373,0.648,0.7088607594936709,0.75,0.6914893617021277,0.6119402985074627,0.6153846153846154,0.7619047619047619,0.6442307692307693,0.7448979591836735,0.6444444444444445,0.581081081081081
Co-operative Insurance,0.5371621621621622,0.42452830188679247,0.6105263157894737,0.5,0.5254237288135594,0.5526315789473685,0.7916666666666666,0.48,0.5285714285714286,0.5555555555555556,0.6842105263157895,0.5303030303030303
Direct Line,0.6277173913043478,0.57981220657277,0.6895424836601307,0.6730769230769231,0.5727272727272728,0.6538461538461539,0.6428571428571429,0.5666666666666667,0.6701030927835051,0.7195121951219512,0.5892857142857143,0.5608695652173913
Everypaw,0.5204081632653061,0.6136363636363636,0.4444444444444444,0.8571428571428571,0.6176470588235294,0.43333333333333335,0.3,1.0,0.5,0.5714285714285714,0.7307692307692307,0.16666666666666666
Healthy Pets Insurance,0.5708446866485014,0.5733333333333334,0.5714285714285714,0.6438356164383562,0.6054421768707483,0.4525862068965517,0.7258064516129032,0.5125,0.5833333333333334,0.6395348837209303,0.6636363636363637,0.5041666666666667
John Lewis,0.592948717948718,0.6304347826086957,0.5747126436781609,0.7714285714285715,0.6224489795918368,0.43636363636363634,0.6875,0.5555555555555556,0.6282051282051282,0.43548387096774194,0.7763157894736842,0.5166666666666667
Lifetime Pet Cover,0.5969387755102041,0.56,0.648936170212766,0.6923076923076923,0.5760869565217391,0.5789473684210527,0.375,0.7272727272727273,0.5681818181818182,0.6346153846153846,0.6666666666666666,0.39285714285714285
LV=,0.601145038167939,0.5454545454545454,0.6348684210526315,0.6428571428571429,0.5357142857142857,0.6504854368932039,0.5978260869565217,0.6568627450980392,0.7063492063492064,0.5915492957746479,0.43478260869565216,0.5188679245283019
More Than,0.5923076923076923,0.5797101449275363,0.602,0.65625,0.6026785714285714,0.5454545454545454,0.6727272727272727,0.54375,0.6298076923076923,0.574468085106383,0.4696969696969697,0.6645569620253164
PDSA,0.6031746031746031,0.6079545454545454,0.5891089108910891,0.631578947368421,0.6333333333333333,0.5806451612903226,0.5806451612903226,0.6206896551724138,0.7232142857142857,0.7884615384615384,0.15,0.6842105263157895
Pet Protect,0.5154867256637168,0.46218487394957986,0.5887850467289719,0.6428571428571429,0.5166666666666667,0.43670886075949367,0.5909090909090909,0.4827586206896552,0.5094339622641509,0.4657534246575342,0.5344827586206896,0.6219512195121951
Petplan,0.6210923463887891,0.6035625517812759,0.633991088478676,0.6894904458598726,0.5924507658643327,0.6348017621145374,0.5909090909090909,0.6402439024390244,0.622,0.637085137085137,0.5670498084291188,0.6124437781109445
Pets in a Pickle,0.40714285714285714,0.42857142857142855,0.4807692307692308,0.38636363636363635,0.24,0.7647058823529411,0.2,0.16666666666666666,0.59375,0.34615384615384615,0.23684210526315788,0.625
Purely Pets,0.5619834710743802,0.5319148936170213,0.5821917808219178,0.7608695652173914,0.5972222222222222,0.45348837209302323,0.4473684210526316,0.6666666666666666,0.37037037037037035,0.6060606060606061,0.65,0.5483870967741935
RSPCA,0.7325581395348837,0.6666666666666666,0.8157894736842105,0.775,0.7777777777777778,0.5,1.0,0.6666666666666666,0.75,1.0,0.1,0.6666666666666666
Sainsbury's,0.5548469387755102,0.5823863636363636,0.5324074074074074,0.625,0.5669014084507042,0.5362318840579711,0.5234375,0.4666666666666667,0.6052631578947368,0.4948453608247423,0.6964285714285714,0.5169491525423728
Tesco Bank,0.5694736842105264,0.5396825396825397,0.5893169877408057,0.6301369863013698,0.54375,0.5536159600997507,0.6516129032258065,0.5308988764044944,0.6129032258064516,0.5688976377952756,0.6337209302325582,0.5420560747663551
The Insurance Emporium,0.4290322580645161,0.2727272727272727,0.53,0.7352941176470589,0.29545454545454547,0.4453125,0.43333333333333335,-0.1388888888888889,0.5408163265306123,0.46153846153846156,0.4444444444444444,0.5125
The Kennel Club,0.5857142857142857,0.6081081081081081,0.6166666666666667,0.7,0.7631578947368421,0.34,0.75,0.78125,0.5625,0.6538461538461539,0.7727272727272727,0.2727272727272727
